#Summary : 
#Best fitness Pop 1;0.935665
#Best fitness Pop 2;0.935665
#Std deviation Pop 1;0.0724176
#Std deviation Pop 2;0.185298
#Sensitivity;0.896661
#Specificity;0.943576
#Accuracy;0.927007
#PPV;0.896661
#RMSE;0.253676
#RRSE;0.795789
#RAE;0.348908
#MSE;0.0643514
#ADM;0.880843
#MDM;0.00790024
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;1
#Number of var per rule;5
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 1566363_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
1566363_at (6.79236 , 12.6999) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
124; 0.935632; 0.791191; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
125; 0.935632; 0.806341; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
126; 0.935632; 0.8041; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
127; 0.935632; 0.77428; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
128; 0.935632; 0.818157; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
129; 0.935632; 0.831175; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
130; 0.935632; 0.838597; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
131; 0.935632; 0.840683; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
132; 0.935632; 0.844535; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
133; 0.935632; 0.838028; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
134; 0.935665; 0.830399; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
135; 0.935665; 0.835218; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
136; 0.935665; 0.819856; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
137; 0.935665; 0.841072; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
138; 0.935665; 0.838353; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
139; 0.935665; 0.808345; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
140; 0.935665; 0.809779; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
141; 0.935665; 0.796046; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
142; 0.935665; 0.806281; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
143; 0.935665; 0.803702; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
144; 0.935665; 0.811924; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
145; 0.935665; 0.811638; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
146; 0.935665; 0.817777; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
147; 0.935665; 0.809635; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
148; 0.935665; 0.797952; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
149; 0.935665; 0.800552; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
150; 0.935665; 0.790406; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
151; 0.935665; 0.80057; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
